Timestamp,Source IP,Destination IP,packet length,protocol
1682190852.026242000,40.114.177.156,192.168.100.5,93,TLS
1682190852.026242000,40.114.177.156,192.168.100.5,78,TLS
1682190852.026340000,192.168.100.5,40.114.177.156,54,TCP
1682190852.026615000,192.168.100.5,40.114.177.156,93,TLS
1682190852.026954000,192.168.100.5,40.114.177.156,78,TLS
1682190852.027036000,192.168.100.5,40.114.177.156,54,TCP
1682190852.076176000,40.114.177.156,192.168.100.5,56,TCP
1682190852.076176000,40.114.177.156,192.168.100.5,54,TCP
1682190852.076176000,40.114.177.156,192.168.100.5,54,TCP
1682190852.076176000,40.114.177.156,192.168.100.5,54,TCP
1682190852.227960000,192.168.100.5,104.16.99.29,343,DATA
1682190852.228837000,192.168.100.5,104.16.99.29,85,DATA
1682190852.232519000,192.168.100.5,104.16.99.29,346,DATA
1682190852.233124000,192.168.100.5,104.16.99.29,85,DATA
1682190852.235174000,192.168.100.5,104.16.99.29,349,DATA
1682190852.235730000,192.168.100.5,104.16.99.29,85,DATA
1682190852.244212000,104.16.99.29,192.168.100.5,76,DATA
1682190852.245389000,104.16.99.29,192.168.100.5,76,DATA
1682190852.245602000,192.168.100.5,104.16.99.29,87,DATA
1682190852.247587000,104.16.99.29,192.168.100.5,79,DATA
1682190852.252762000,104.16.99.29,192.168.100.5,70,DATA
1682190852.252926000,192.168.100.5,104.16.99.29,87,DATA
1682190852.254721000,104.16.99.29,192.168.100.5,70,DATA
1682190852.278127000,192.168.100.5,104.16.99.29,88,DATA
1682190852.876319000,192.168.100.5,192.229.221.95,55,TCP
1682190852.887403000,192.229.221.95,192.168.100.5,66,TCP
1682190855.883986000,192.168.100.5,192.168.100.1,79,DNS
1682190855.885737000,192.168.100.5,142.251.141.45,1399,QUIC
1682190855.885855000,192.168.100.5,142.251.141.45,1399,QUIC
1682190855.887156000,192.168.100.5,142.251.141.45,1399,QUIC
1682190855.887247000,192.168.100.5,142.251.141.45,105,QUIC
1682190855.902376000,192.168.100.1,192.168.100.5,107,DNS
1682190855.929410000,142.251.141.45,192.168.100.5,1399,QUIC
1682190855.935300000,142.251.141.45,192.168.100.5,1399,QUIC
1682190855.936429000,192.168.100.5,142.251.141.45,156,QUIC
1682190855.936662000,142.251.141.45,192.168.100.5,657,QUIC
1682190855.936662000,142.251.141.45,192.168.100.5,69,QUIC
1682190855.936662000,142.251.141.45,192.168.100.5,67,QUIC
1682190855.938903000,192.168.100.5,142.251.141.45,73,QUIC
1682190855.948110000,142.251.141.45,192.168.100.5,165,QUIC
1682190855.970223000,192.168.100.5,142.251.141.45,74,QUIC
1682190855.985262000,192.168.100.5,20.54.24.148,62,TCP
1682190856.044473000,20.54.24.148,192.168.100.5,62,TCP
1682190856.044545000,192.168.100.5,20.54.24.148,54,TCP
1682190856.045245000,192.168.100.5,20.54.24.148,274,TLS
1682190856.105480000,20.54.24.148,192.168.100.5,1466,TLS
1682190856.105690000,20.54.24.148,192.168.100.5,1074,TLS
1682190856.105766000,192.168.100.5,20.54.24.148,54,TCP
1682190856.108631000,192.168.100.5,20.54.24.148,212,TLS
1682190856.110396000,142.251.141.45,192.168.100.5,1395,QUIC
1682190856.110396000,142.251.141.45,192.168.100.5,1399,QUIC
1682190856.110601000,142.251.141.45,192.168.100.5,1399,QUIC
1682190856.110601000,142.251.141.45,192.168.100.5,1399,QUIC
1682190856.110601000,142.251.141.45,192.168.100.5,253,QUIC
1682190856.110903000,192.168.100.5,142.251.141.45,78,QUIC
1682190856.113137000,142.251.141.45,192.168.100.5,79,QUIC
1682190856.113309000,142.251.141.45,192.168.100.5,75,QUIC
1682190856.113440000,192.168.100.5,142.251.141.45,73,QUIC
1682190856.148165000,142.251.141.45,192.168.100.5,69,QUIC
1682190856.166724000,192.168.100.5,192.168.100.1,75,DNS
1682190856.170429000,20.54.24.148,192.168.100.5,105,TLS
1682190856.170578000,20.54.24.148,192.168.100.5,123,TLS
1682190856.170610000,192.168.100.5,20.54.24.148,54,TCP
1682190856.171452000,192.168.100.5,20.54.24.148,141,TLS
1682190856.171552000,192.168.100.5,20.54.24.148,204,TLS
1682190856.171664000,192.168.100.5,20.54.24.148,92,TLS
1682190856.171713000,192.168.100.5,20.54.24.148,704,TLS
1682190856.184162000,192.168.100.1,192.168.100.5,91,DNS
1682190856.185049000,192.168.100.5,192.168.100.1,75,DNS
1682190856.189247000,192.168.100.1,192.168.100.5,91,DNS
1682190856.189649000,192.168.100.5,192.168.100.1,75,DNS
1682190856.201935000,192.168.100.5,172.217.17.99,1399,QUIC
1682190856.208853000,192.168.100.1,192.168.100.5,103,DNS
1682190856.217238000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.217769000,192.168.100.5,172.217.17.99,82,QUIC
1682190856.229818000,20.54.24.148,192.168.100.5,92,TLS
1682190856.230136000,20.54.24.148,192.168.100.5,56,TCP
1682190856.231582000,20.54.24.148,192.168.100.5,96,TLS
1682190856.231637000,192.168.100.5,20.54.24.148,54,TCP
1682190856.232225000,20.54.24.148,192.168.100.5,522,TLS
1682190856.251519000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.251670000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.251785000,192.168.100.5,172.217.17.99,84,QUIC
1682190856.251964000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.251964000,172.217.17.99,192.168.100.5,85,QUIC
1682190856.252108000,192.168.100.5,172.217.17.99,84,QUIC
1682190856.262091000,172.217.17.99,192.168.100.5,524,QUIC
1682190856.265762000,192.168.100.5,172.217.17.99,85,QUIC
1682190856.275221000,192.168.100.5,172.217.17.99,150,QUIC
1682190856.275297000,192.168.100.5,172.217.17.99,108,QUIC
1682190856.276348000,192.168.100.5,172.217.17.99,583,QUIC
1682190856.281068000,192.168.100.5,20.54.24.148,54,TCP
1682190856.285493000,172.217.17.99,192.168.100.5,657,QUIC
1682190856.286009000,172.217.17.99,192.168.100.5,166,QUIC
1682190856.287103000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.288085000,172.217.17.99,192.168.100.5,73,QUIC
1682190856.288686000,172.217.17.99,192.168.100.5,1395,QUIC
1682190856.288917000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.289215000,192.168.100.5,172.217.17.99,78,QUIC
1682190856.289640000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.289640000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.289640000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.289724000,192.168.100.5,192.168.100.1,96,DNS
1682190856.289910000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.291307000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.291307000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.291500000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.291912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.291912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.291912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.291912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.292115000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.292995000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.293355000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.293500000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.293791000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.293791000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.293791000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.293982000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,1395,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.294912000,172.217.17.99,192.168.100.5,103,QUIC
1682190856.295287000,192.168.100.5,172.217.17.99,78,QUIC
1682190856.295863000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296273000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296453000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.296721000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296721000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296721000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296721000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.296955000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.297361000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.297361000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.297581000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.297988000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301447000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301536000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301536000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301536000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301734000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.301879000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301879000,172.217.17.99,192.168.100.5,1399,QUIC
1682190856.301998000,172.217.17.99,192.168.100.5,764,QUIC
1682190856.302067000,192.168.100.5,172.217.17.99,73,QUIC
1682190856.308990000,192.168.100.1,192.168.100.5,208,DNS
1682190856.309623000,192.168.100.5,23.50.184.71,62,TCP
1682190856.323866000,192.168.100.5,172.217.17.99,74,QUIC
1682190856.332275000,172.217.17.99,192.168.100.5,69,QUIC
1682190856.356288000,192.168.100.5,172.217.169.138,62,TCP
1682190856.366181000,23.50.184.71,192.168.100.5,62,TCP
1682190856.366255000,192.168.100.5,23.50.184.71,54,TCP
1682190856.366432000,172.217.169.138,192.168.100.5,62,TCP
1682190856.366495000,192.168.100.5,172.217.169.138,54,TCP
1682190856.367596000,192.168.100.5,23.50.184.71,273,TLS
1682190856.369541000,192.168.100.5,172.217.169.138,726,TLS
1682190856.369973000,192.168.100.5,192.168.100.1,85,DNS
1682190856.370044000,192.168.100.5,172.217.169.138,60,TLS
1682190856.370100000,192.168.100.5,172.217.169.138,685,TLS
1682190856.381259000,172.217.169.138,192.168.100.5,54,TCP
1682190856.381259000,172.217.169.138,192.168.100.5,56,TCP
1682190856.383192000,172.217.169.138,192.168.100.5,56,TCP
1682190856.386866000,192.168.100.1,192.168.100.5,130,DNS
1682190856.387773000,192.168.100.5,192.168.100.1,96,DNS
1682190856.392073000,192.168.100.1,192.168.100.5,112,DNS
1682190856.392468000,192.168.100.5,192.168.100.1,96,DNS
1682190856.396450000,192.168.100.5,142.250.184.131,1399,QUIC
1682190856.402949000,192.168.100.5,216.58.212.1,1399,QUIC
1682190856.403364000,192.168.100.5,142.250.184.131,305,QUIC
1682190856.411154000,192.168.100.1,192.168.100.5,124,DNS
1682190856.416585000,172.217.169.138,192.168.100.5,822,TLS
1682190856.416989000,216.58.212.1,192.168.100.5,1399,QUIC
1682190856.416989000,172.217.169.138,192.168.100.5,116,TLS
1682190856.416989000,172.217.169.138,192.168.100.5,85,TLS
1682190856.417197000,192.168.100.5,172.217.169.138,54,TCP
1682190856.419414000,192.168.100.5,172.217.169.138,138,TLS
1682190856.424632000,192.168.100.5,172.217.169.138,85,TLS
1682190856.426301000,192.168.100.5,216.58.212.1,82,QUIC
1682190856.427501000,23.50.184.71,192.168.100.5,54,TCP
1682190856.427754000,23.50.184.71,192.168.100.5,1466,TLS
1682190856.428418000,23.50.184.71,192.168.100.5,1466,TCP
1682190856.428418000,23.50.184.71,192.168.100.5,1326,TLS
1682190856.428632000,192.168.100.5,23.50.184.71,54,TCP
1682190856.431514000,23.50.184.71,192.168.100.5,1466,TCP
1682190856.431601000,192.168.100.5,23.50.184.71,54,TCP
1682190856.434142000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.437114000,172.217.169.138,192.168.100.5,56,TCP
1682190856.438121000,172.217.169.138,192.168.100.5,56,TCP
1682190856.444454000,142.250.184.131,192.168.100.5,1399,QUIC
1682190856.447498000,192.168.100.5,142.250.184.131,156,QUIC
1682190856.448261000,142.250.184.131,192.168.100.5,657,QUIC
1682190856.448261000,142.250.184.131,192.168.100.5,69,QUIC
1682190856.448261000,142.250.184.131,192.168.100.5,1395,QUIC
